abase,(v)降低自己、使卑下
preferably,(adv)更可取地、更好地;pre(前) + fer(拿來) + ably
proffer,(v)獻出、贈送、建議;pro(向前) + ffer(帶來)
referendum,(n)公民投票
odoriferous,(adj)有氣味的;odor(氣味) + i + fer(帶來) +ous
saliferous,(adj)含鹽的、產鹽的
ferromagnetic,(adj)磁鐵的
ferrous,(adj)含鐵的
effervesce,(v)冒泡、熱情洋溢
ferment,(v)使發酵、醞釀
fermentation,(n)發酵、騷動、動亂
fervent,(adj)炙熱的、熱情的
fervor,(n)熱情、熱心
perfervid,(adj)非常熱心的;per(完全) + ferv(熱) + id
confess,(v)公認、承認
artifice,(v)奸計、詭計;arti(技巧) + fic(做) + e
deficit,(n)赤字、不足額
efficacy,(n)功效、有效性
feckless,(adj)無效性的、無能的
fictitious,(adj)假的、虛構的
maleficent,(adj)有害的、犯罪的;male(壞) + fic(做) + ent
munificence,(n)慷慨、寬宏大量;muni(公共) + fic(做) +ence
munificent,(adj)慷慨地、豐厚的
ramification,(n)後果、影響
sufice,(v)足夠、(食物)滿足
affidavit,(n)宣誓書、口供書
confidant,(n)心腹朋友、知己、密友
confide,(v)透露、吐露
diffident,(adj)缺乏自信的、羞怯的
fealty,(n)效忠、忠貞
fidelity,(n)忠實、忠誠
perfidious,(adj)不誠實的、背信棄義的;per(遠離) + fid(相信) + ious
perfidy,(v)不忠、背叛;per(完全) + fid(相信) + y
configuration,(n)結構、配置、輪廓
disfigure,(v)損壞..的外形、使難看
effigy,(n)肖象
figurative,(adj)比喻的、象徵的
figurehead,(n)有名無實的首腦
figurine,(n)小塑像、雕像
prefigure,(v)預示、預想
transfigure,(v)使變形、改觀
affiliate,(v)使緊密聯繫、使隸屬於
affiliated,(adj)附屬的
affiliation,(n)聯繫、聯合
filial,(adj)子女的、孝順的
infiltrate,(v)滲透、滲入
affinity,(n)喜好、本性、傾向
confine,(v)限制、使侷限
infinitesimal,(adj)極微小的
finesse,(n)非凡的技巧、技術
affirm,(v)確認、肯定
infirm,(adj)體弱的、(因年邁)衰弱的
reaffirm,(v)再次確定、重申
confiscate,(v)沒收、充公
fiscal,(adj)財政的、國庫的
fissile,(adj)易裂的、可裂的
fissure,(n)裂縫、裂隙
affix,(v)黏土、貼上
fixate,(v)注視、使固定、使不便
flagrant,(adj)惡名昭彰的、公然的
flamboyant,(adj)艷麗的、炫耀的
inflame,(v)使燃燒
inflamed,(adj)發炎的、紅腫的
inflammation,(n)點火、燃燒
conflate,(v)合併;con(共同) + flate(吹氣) + e
deflated,(adj)洩氣的、灰心的
flatulence,(n)浮誇、自負
inflate,(v)使充氣、膨脹
deflect,(v)使偏斜、轉向
inflexible,(adj)堅定的、不屈不撓的
genuflect,(v)屈膝、下跪;genu(膝) + flect(彎曲)
afflict,(v)使痛苦、折磨
inflict,(v)給予(打擊)、遭受(損傷)
infliction,(n)施加
profligate,(adj)非常浪費的;[類]prodigal
flora,(n)植物
floral,(adj)花的、植物的
florescence,(n)開花
florid,(adj)鮮紅色的、美麗的
affluent,(adj)富裕的、豐富的
effluvium,(n)氣味、惡臭、廢料
fluvial,(adj)河流的、生在河中的
flux,(n)不斷的變動、動盪不定
influx,(v)注入、湧入
mellifluous,(adj)聲音甜美的、悅耳的;melli(蜂蜜) + flu(流) + ous
superfluous,(adj)多餘的、累贅的
defoliant,(n)脫葉劑、落葉劑
foliage,(n)葉子
cnformist,(adj)遵奉傳統的、習俗的
conformity,(n)一致、遵從
formality,(n)拘泥形式、拘謹
formative,(adj)形成的、構成的
discomfit,(v)使窘迫、尷尬
forte,(n)長處、擅長的事
fortify,(v)增加、加強
fortitude,(n)堅毅、堅忍不拔
fosse,(n)護城河
fracas,(n)喧鬧、吵鬧
fractious,(adj)(脾氣)易怒的、好爭吵的
fracture,(n)骨折、折斷
fragile,(adj)易碎的、易壞的
frivolous,(adj)輕浮的、草率的
infraction,(n)違背、違法
refract,(v)折射
refractory,(adj)難醫治的、倔強的
suffrage,(n)選舉權、投票權
defraud,(v)詐取、詐騙
fraudulent,(adj)欺騙的、不誠實的
fraud,(n)騙子、欺詐
frigid,(adj)寒冷的、冷淡的
frigidity,(n)寒冷、冷淡
affront,(n)侮辱、冒犯
effrontery,(n)厚顏無恥、魯莽
upfront,(adj)直率的、坦白的
centrifugal,(adj)離心的
fugacious,(adj)短暫的
fugitive,(n)逃亡者、逃犯
refugee,(n)難民、流亡者
subterfuge,(n)詭計、託辭;[類]artifice; chicane
effulgent,(adj)燦爛的
fulminate,(v)大聲斥責
refulgent,(adj)輝煌的、燦爛的
fume,(n)煙、憤怒
fumigate,(v)煙燻、以煙消毒
confound,(v)使混亂、困惑
profound,(adj)深刻的、深奧的
defunct,(adj)死亡的
dysfunctional,(adj)功能失調的
functionary,(n)公務員、官員
malfunction,(v)發生故障、機能失常
perfunctory,(adj)草率的、敷衍的
defuse,(v)卸除引信、緩和緊張;de(離開) + fuse(導火線)
effusive,(adj)熱情的、感情洋溢的
infuse,(v)灌輸、鼓勵
profuse,(adj)很多的、浪費的、豐富的;[類]abundant
suffuse,(v)(色彩)瀰漫、染遍
transfuse,(v)輸血、充滿;tarns(通過) + fuse(流)
fuscous,(adj)暗褐色的
obfuscate,(v)使困惑、迷糊
confute,(v)駁倒
refute,(v)反駁、駁斥
refutable,(adj)可駁倒的
irrefutable,(adj)不能反駁的、不可否認的
garish,(adj)炫耀的、過分裝飾的
garland,(n)(勝利的)花環、獎品
garment,(n)衣服
garnish,(v)裝飾物、裝飾
apogee,(n)最高點、頂點
perigee,(n)近地點
genealogy,(n)家譜、宗譜
genesis,(n)創始、起源
genetic,(adj)遺傳的、起源的
genome,(n)基因組、染色體組
generic,(adj)種類的、類屬的
genus,(n)類、種類
genre,(n)文藝作品類型
genteel,(adj)彬彬有禮的、有教養的
gentry,(n)紳士、上等人
congenial,(adj)意氣相投的、性情好的
congenital,(adj)先天的、天生的
degeneracy,(n)衰退、退化
engender,(v)使產生、引起
eugenic,(adj)優生學的;eu(好) + gen(產生) + ic
generality,(n)概括的表述、泛泛而談
genial,(adj)和藹的、友好的;[類]kindly; pleasant; sociable
heterogeneous,(adj)異類的、不同的;hetero(異) + gen(產生) + eous
homogeneity,(n)同種、同質
homogeneous,(adj)同種的
homogenize,(v)使均勻
indigenous,(adj)本土的、土產的
ingenious,(adj)聰明的、有發明才的
ingenue,(n)天真無邪的少女
ingenuous,(adj)純樸的、單純的
disingenuous,(adj)不誠實的、虛偽的
progenitor,(n)祖先、始祖;pro(前) + gen(產生) + itor
progeny,(n)後代、子女;pro(前) + gen(產生) + y
germane,(adj)有密切關係的、貼切的
germinate,(v)發芽、發展
congest,(v)使擁擠、充血;con(共同) + gest(管道)
ingest,(v)嚥下、吞下
girdle,(n)腰帶、環繞物
girth,(n)腰身、周長
girder,(n)大樑
undergird,(v)加強、鞏固的..底部
hieroglyph,(n)象形文字
petroglyph,(n)岩石畫、雕刻;petro(石頭) + glyph(寫、刻)
agnostic,(adj)不可知論的;a(不) + gnos(知道) + tic
prognosis,(n)預知(醫生對病情發展的預測)、展望、預測;pro(前) + gnos(知道) + is
prognosticate,(v)預知、顯示...徵召;pro(前) + gnos(知道)
disgorge,(v)吐出、嘔出
gorge,(n)大峽谷
gorgeous,(adj)燦爛的、華麗的
epigram,(n)諷刺短句、警語
granary,(n)穀倉、糧倉
granulate,(v)使呈顆粒狀
granule,(n)小粒、微粒
ingrain,(v)根深蒂固的
ingrained,(adj)根深蒂固的
aggrandize,(v)加大、強化
grandeur,(n)壯麗、偉大
grandiloquence,(n)豪言壯語、誇大之詞;grand(大) + i + liqu(說) + ence
grandiose,(adj)宏偉的、誇大的;[類]prompous(浮誇的)；grand(壯麗的)
grandstand,(n)正面看台、大看台
autograph,(n)親筆稿、手稿;auto(自己) + graph(寫)
calligraphy,(n)書法、筆跡
cartographer,(n)製圖師
choreographic,(adj)舞蹈術的、舞台舞蹈的
choreography,(n)舞蹈、舞蹈編排
demography,(n)人口統計、人口學;demo(人民) + graphy(寫)
discography,(n)唱片分類目錄
graphite,(n)石墨、黑鉛
holograph,(n)親筆信;holo(全部) + graph(寫)
homograph,(n)同行異義字
iconographic,(adj)肖像的、圖解的
lexicographer,(n)辭典編撰者;lexico(辭典) + graph(寫) + er
monograph,(n)專題論文、著作
orthographic,(adj)拼字正確的
typographical,(adj)排字上的、印刷上的
grate,(v)磨碎(食物)
gratification,(n)滿足、滿意
gratify,(v)使高興、滿足
grating,(adj)(聲音)刺耳的、惱人的
ingrate,(n)忘恩負義的人
ingratiate,(v)使得到...的歡心、迎合、奉承
ingratiating,(adj)討好的、諂媚的;[類]endearing; flattering
aggravate,(v)加重、惡化
grave,(adj)嚴峻的
gravitate,(v)被強烈地吸引
gravity,(n)嚴肅、正經；重力、引力
aggregate,(v)集合、合計
congregate,(v)集合、聚集
egregious,(adj)(缺點)過分的、驚人的
gregarious,(adj)群居的、愛社交的
gregariousness,(n)愛交際、群居
aggression,(n)侵略
digress,(v)離題、走向岔道
digression,(n)離題、跑題
egress,(n)外出、出路
grade,(n)評等、等級
ingress,(v)進入
regress,(v)退化、逆行、退步
regressive,(adj)後退的、退化的
transgress,(v)冒犯、違背
transgression,(n)違反、違法
aggrieved,(adj)使受委屈的、憤恨不平的
grievance,(n)委屈、抱怨
grieve,(v)悲傷、苦惱
grievous,(adj)令人悲痛的
congruent,(adj)適合的、一致的
congruity,(n)適合、一致
congruous,(adj)一致的、適合的
incongruent,(adj)不協調的、不和諧的
incongruous,(adj)不協調的、不一致的
cohabit,(v)同居
habituate,(v)使習慣於
exhale,(v)呼出、呼氣
hale,(adj)健壯的、健美的
inhale,(v)吸入、吸氣
haphazard,(adj)無計畫的、任意的
hapless,(adj)倒楣的、不幸的;[類]luckless; unfortunate
mishap,(n)小錯誤、事故;mis(壞) + hap(運氣)
harbinger,(n)先兆、通報者
herald,(n)傳令官
heirloom,(n)祖傳遺物、傳家寶
hereditary,(adj)世襲的、傳代的
herbaceous,(adj)草本的、葉狀的
herbivorous,(adj)食草的;herb(草) + i + vor(吃) + ous
adhere,(v)堅持、黏著
adherent,(n)擁護者、信徒
adhesive,(adj)黏的、黏著的
coherent,(adj)一致的、協調的
cohesion,(n)內聚力、凝聚力
cohesive,(adj)有黏著力的、凝聚力的
incoherent,(adj)不連貫的、語無倫次的
inherent,(adj)固有的、內在的
heresy,(n)異教、異端邪說
heretic,(n)異教徒、異端邪說者
heretical,(adj)異教的、異端的
exhilarate,(v)使振奮、高興
exhilaration,(n)愉快的心情、高興
hilarious,(adj)極可笑的
hilarity,(n)歡鬧、狂歡
abhor,(v)憎恨、嫌惡
abhorrent,(adj)可恨的、討厭的
horrendous,(adj)可怕的、令人恐懼的
exhort,(v)力勸、勉勵
hortative,(adj)勸告的、獎勵的
dehumanize,(v)使失去人性
humane,(adj)人道的、慈悲的
humor,(n)幽默；縱容、遷就
exhume,(v)掘出、發掘;ex(出) + hum(地) + e
humdrum,(adj)單調的、乏味的
humility,(n)謙遜、謙恭
posthumous,(adj)死後的、身後的;post(後) + hum(地) + ous
anhydrous,(adj)無水的;an(無) + hydr(水) + ous
carbohydrate,(n)碳水化合物
dehydrate,(v)除去水份、脫水
hydrant,(n)(消防用)水龍頭、消防栓
hydrate,(n)水合物、水化物
iconoclasm,(n)破壞偶像(聖像);icon(偶像) + klan(打破)
iconoclast,(n)偶像破壞者、反對崇拜者
ideology,(n)意識形態、思想體系
idiomatic,(adj)慣用的
idiosyncrasy,(n)氣質、習性
idiolatrize,(v)奉為偶像、盲目崇拜
igneous,(adj)火的、(岩石)火成的
emulate,(v)效法、模仿
emulator,(n)競爭者
imperative,(adj)必要的、緊急的
imperial,(adj)帝王的、至尊的
imperious,(adj)傲慢的、專橫的
uninitiate,(adj)外行的、缺乏經驗的
insular,(adj)島嶼的、心胸狹窄的
insularity,(n)島國狀態、與外界隔絕生活
insulin,(n)胰島素
peninsula,(n)半島;pen(近似) + insula(島)
integrate,(v)使成一體、結合
disintegrate,(v)使破碎、瓦解
circuitous,(adj)迂迴的、繞圈子的
itinerant,(adj)巡迴的、遊歷的
itinerary,(n)旅程、路線
obituary,(n)訃聞、訃告
sedition,(n)煽動叛亂、煽動叛亂性的言論
seditious,(adj)煽動性的
transitoriness,(n)短暫、暫時
transitory,(adj)短暫的、瞬息的 [類]temporary
abject,(adj)可憐的、卑下的;ab(離開) + ject(泡、扔)
conjecture,(v)推測、臆測
dejected,(adj)沮喪的、失望的
ejaculate,(v)突然喊出、射出
interjection,(n)插入語、感嘆詞
objection,(n)厭惡、反對;ob(反) + ject(拋、扔) + ion
objective,(adj)客觀的
projectile,(n)拋射物、發射體
projection,(n)預測、推測、估計
trajectory,(n)軌道、彈道
adjourn,(v)使延期、推遲、休會;ad(=to) + journ(天)
sojourn,(v)逗留、寄居
adjudicate,(v)判決、宣告
injudicious,(adj)不明智的、不謹慎的
judicious,(adj)有判斷力的、明智的
judiciousness,(n)有見識、明智而審慎
conjugal,(adj)婚姻的、夫妻之間的
subjugate,(v)征服、鎮壓;sub(下面) + jug(結合) + ate
adjunct,(n)附加物、附件
conjunction,(n)連接詞、聯結
disjunction,(v)分裂、分離
disjunctive,(adj)分離的、相反的
injunction,(n)命令、指令
junction,(n)交叉路口、連接
juncture,(n)危機關頭、接合處
abjure,(v)發誓放棄、棄絕;ab(離開) + jur(發誓) + e
conjure,(v)想起;變出、變戲法；念咒語;con(全部) + jure(發誓)
jurisdiction,(n)司法權、審判權;juris(法律) + dict(命令)
jurisprudence,(n)法律學、法學;juris(法律) + prud(小心) + ence
jury,(n)陪審團
objurgate,(v)申斥、痛罵
objurgation,(n)斥責、痛罵
perjure,(v)作偽證、發假誓;per(遠離) + jur(誓言) + e
perjury,(n)偽證、偽證罪
justfiable,(adj)有理由的、無可爭議的
justification,(n)證明為正當、辯護
unjustifiable,(adj)不合理的、無理的
unjustly,(adv)不義地、不法地
jubilation,(n)歡慶、慶祝活動
juvenescence,(n)返老還童、變年輕
juvenile,(adj)少年的
rejuvenate,(v)使年輕、恢復精神
belabor,(v)過分冗長說明
collaborate,(v)共同工作
elaborate,(adj)精緻的、複雜的
labored,(adj)吃力的、不自然的
laborious,(adj)費勁的、耗費大量體力的
dilapidate,(v)使荒廢、毀壞
dilapidated,(adj)荒廢的、破舊的
lapidary,(n)寶石工、寶石專家
lapse,(n)(時間的)流逝、間隔
relapse,(v)舊病復發、再惡化
collate,(v)對照、核對;col(共同) + lat(放) + e
superlative,(adj)最高的、最好的;super(上面) + lat(提、拿) + ive
latitude,(n)緯度、自由
dilate,(v)膨脹、擴大
dilatory,(adj)緩慢的、拖延的
oblation,(n)宗教的供品、祭品
bilateral,(adj)雙邊的;bi(兩個) + later(邊) + al
collateral,(n)擔保物、抵押品;col(共同) + later(邊) + al
lateral,(adj)側面的、橫的
unilateral,(adj)單方面的、單邊的;uni(單一) + later(側面) + al
ablution,(n)(宗教)淨禮、沐浴
deluge,(n)大洪水、暴雨
dilute,(v)弄稀、弄淡
lave,(v)洗、為...沐浴
delectable,(adj)令人愉快的
eclectic,(adj)折衷的、不拘一格的
electorate,(n)選民、選區
predilection,(n)偏袒、愛好;pre(前) + di + lect(選擇) + ion
allegiance,(n)忠誠、忠貞
relegate,(v)貶低、放逐
alleviate,(v)緩和、減輕
leaven,(v)使發酵、使變有趣
lever,(n)槓桿、控制桿
levity,(n)輕率、輕浮
levy,(v)徵兵、徵稅
dyslexia,(v)識字困難、誦讀困難
lexical,(adj)語彙的、語詞的
lexicon,(n)辭典
prolix,(adj)囉嗦的、冗長的;[類]verbose
prolixity,(n)冗長、囉嗦
liaison,(n)聯繫、溝通；聯絡窗口
liana,(n)藤本植物
libel,(n)中傷、誹謗
libelous,(adj)誹謗的
libretto,(n)(歌劇的)歌詞、劇本
illiberal,(adj)吝嗇的
libertine,(n)放蕩者、玩樂者
proliferate,(v)繁殖、激增
prolific,(adj)多產的、作品豐富的
ligature,(n)帶子、繩索
obligatory,(adj)強制性的、義務性的
oblige,(v)使不得不、迫使
obliging,(adj)樂於助人的、有禮貌的
align,(v)保持一致
delineate,(v)描繪、描寫
underline,(v)在...之下畫線
gosling,(n)小鵝、年輕無知的人
inkling,(n)略知、模糊的印象；暗示、跡象;ink(墨水) + ling(小)
nestling,(n)尚未離巢的小鳥
nestle,(v)舒適地安頓下來、安臥
underling,(n)下屬、手下
delinquency,(n)失職、過失；違法行為
delinquent,(adj)疏忽職務的
relinquish,(v)放棄、廢除
eclipse,(n)日蝕、月蝕
ellipsis,(n)省略、省略部分
elliptical,(adj)晦澀的、隱晦的
liquefy,(v)使液化、溶解
liquidate,(v)償付
alliterate,(v)押韻
illiterate,(adj)文盲的
literal,(adj)字面上的
literati,(n)文人、學者
preliterate,(adj)沒有文字的、尚無文字的
obliterate,(v)塗掉、擦掉;ob(反) + liter(文字) + ate
unliterary,(adj)不矯揉做作的
monolith,(n)單塊石頭、單一龐大組織
monolithic,(adj)巨石的、巨大的;mono(單一) + lith(石頭) + ic
neolithic,(adj)新石器時代的;neo(新) + lith(石頭) + ic
dislocate,(v)使移動位置、使脫臼
locale,(n)事件發生的地點、現場
locomotion,(n)運動、移動;loc(地方) + o + mot(移動) + ion
locus,(n)地點、所在地
circumlocution,(n)迂迴累贅的陳述;circum(環繞) + locu(說) + tion
circumlocutory,(adj)委婉曲折的、迂迴的
colloquial,(adj)口語的、會話的
colloquium,(n)討論會、學術報告
colloquy,(n)談話、討論
eclogue,(n)田園詩、牧歌
elocution,(n)演說術、朗誦法
eloquence,(n)雄辯、口才
eloquent,(adj)雄辯的、流利的
epilog,(n)收場白、尾聲、(書的)後記;epi(在..之後) + log(說) + ue
eulogistic,(adj)頌揚的、歌功頌德的;eu(好) + log(說) + istic
eulogize,(v)稱讚、頌揚
gulogy,(n)頌詞、頌文
interlocutor,(n)對話者、談話者
grandiloquence,(n)誇張之言、大言不慚
loquacious,(adj)多話的、非常健談的
laconic,(adj)簡短的
locution,(n)語言風格、慣用語
magniloquent,(adj)誇張的、說大話的;magn(大) + i + loqu(話) + ent
monolog,(n)獨白、個人長篇演說
neologism,(n)新字、新義
prologue,(n)開場白、序幕;pro(前) + log(話) + ue
prophylactic,(adj)預防疾病的、預防性的;prophecy (預言) + lac(說)
tautological,(adj)重複的、贅述的
trilogy,(n)三部曲;tri(三) + log(說) + y
obloquy,(n)大罵、斥責;[類]defamation
soliloquy,(n)自言自語;sol(獨自) + i + loqu(說) + y
ventriloquist,(n)口技表演者
elongate,(v)延長、伸長
long-winded,(adj)冗長的、囉嗦的
prolong,(v)延長、拉長;pro(前) + long(長)
lubricant,(n)潤滑油、潤滑劑
lubricate,(v)使潤滑、給..上潤滑油
lubricious,(adj)光滑的、好色的
elucidate,(v)闡明、說明
lucid,(adj)清楚易懂的、明晰的
lucubration,(n)苦心研究
pellucid,(adj)清晰的、清澈的
translucent,(adj)半透明的;trans(通過) + luc(光) + ent
lucrative,(adj)賺錢的、有利可圖的
lucre,(n)(貶)錢、利益
allude,(v)暗示、間接提到
aluusion,(n)暗示、間接提到
allusive,(adj)暗指的
collude,(v)共謀、串通;col(共同) + lud(玩) + e
collusive,(adj)共謀的
delude,(v)欺騙、哄騙
delusion,(n)欺騙、幻想
elude,(v)避開、逃開
elusive,(adj)逃避的、躲避的
ineluctable,(adj)不可避免的
illusion,(n)假象、錯覺;[類]delusion
disillusion,(n)幻想破滅、醒悟
illusive,(adj)迷惑人的、迷幻的
illusory,(adj)幻覺的、夢幻似的
ludicrous,(adj)滑稽的、荒唐可笑的;[類]ridiculous; absurd
lurid,(adj)可怕的、恐怖的
prelude,(n)序幕、前奏
illuminate,(v)闡明、解釋、照亮
illuminati,(n)智者、先覺者
luminary,(n)傑出人物、才智出眾的人
preliminary,(adj)預備的、初步的
lunatic,(n)瘋子、瘋傻的人
lust,(n)有強烈慾望、貪戀、色慾
wanderlust,(n)旅遊慾、流浪癖
illustrious,(adj)著名的、顯赫的
lackluster,(adj)無光澤的、呆滯的
luster,(n)光澤、光輝
lustrous,(adj)閃亮的、光澤的
deluxe,(adj)豪華的、華麗的
luxuriant,(adj)繁茂的、肥沃的
immaculate,(adj)潔淨的、無汙垢的
maculate,(v)弄汙、加斑點
maladroit,(adj)笨拙的
malediction,(n)詛咒、咒罵
malady,(n)疾病、病
malevolent,(adj)有惡意的、惡毒的
malice,(n)惡意、害人之心、敵意
malign,(adj)惡意的、邪惡的
dismal,(adj)沉悶的、憂鬱的、淒涼的
magnanimity,(n)寬大、雅量
magnanimous,(adj)寬大的、有雅量的
magnate,(n)(企業界)巨頭、權貴
magnify,(v)放大、誇張、讚美
magniloquent,(adj)誇張的、說大話的;magn(大) + i + loqu(話) + ent
magnitude,(n)重大、廣大
immanent,(adj)內在的、普遍存在的
mansion,(n)大廈、大樓
remainder,(n)剩餘物、其餘的人
emanate,(v)散發、發出
emancipate,(v)解除、解放;e(出) + man(手) + cip(拿) + ate
manacle,(n)手銬、腳鐐
maneuver,(n)(部隊)調動、激動；精巧動作
manipulative,(adj)操作的、用手控制的
mannered,(adj)做作的
manumit,(v)解放(奴隸)
manure,(n)糞肥、施肥
countermand,(v)撤回(命令)、取消
mandate,(n)命令、指令
mandatory,(adj)命令的、指令的
remand,(v)遣回、召回
reprimand,(v)訓斥、斥責
dipsomania,(n)飲酒狂
mania,(n)瘋狂、狂熱
megalomania,(n)自大狂
monomania,(n)偏執狂;mono(單一) + mania(狂熱)
pyromania,(n)縱火狂;pyr(火) + o + mania(狂熱)
mantle,(n)覆蓋；責任、衣缽
dismantle,(v)拆開、卸除；廢除、取消
mar,(v)損壞、損傷、玷汙;[類]damage; spoil
martial,(adj)軍事的、戰爭的
martyr,(n)烈士、殉難者
mariner,(n)水手、船員
maritime,(adj)海上的、沿海的
demarcate,(v)劃分、劃界
hallmark,(n)品質證明、保證書
marked,(adj)有記號的、顯著的
amass,(v)累積(財富)
massacre,(n)大屠殺、殘殺
maternal,(adj)母親的、母性的
matriculate,(v)准許..入學、錄取..大學
matrix,(n)子宮、矩陣；(事物)成長、發展
irremediable,(adj)無法醫治、無法糾正的
mediate,(v)用藥物治療的
mediated,(v)調停解決的
mediocre,(adj)平凡的、平庸的
mediocrity,(n)平凡、平庸
intermediary,(n)仲裁者、中間物
meditate,(v)沉思、冥想、深思熟慮
premeditate,(v)預先想過、預謀
premeditated,(adj)有預謀的、有計畫的
unpremeditated,(adj)偶然的、無預謀的
ameliorable,(adj)可改善的
ameliorate,(v)使改進、改善
amelioration,(n)改善、改良
commemorate,(v)慶祝、紀念
immemorial,(adj)(年代久遠而)無法追憶的、古老的、遠古的
memento,(n)紀念物、引起回憶的東西
memoir,(n)自傳、回憶錄
memoranum,(n)備忘錄、紀錄
amenable,(adj)肯順從的、願服從的
demean,(v)貶低、貶損
demeanor,(n)舉動、行為、風度
menace,(n)威脅、恐嚇、危險的事物
menacing,(adj)威脅的、不祥的
minatory,(adj)威脅的
amend,(v)修訂
commend,(v)稱讚、讚賞
emend,(v)修正、校訂
mend,(v)修改、修補、改進
mendacious,(adj)虛偽的、說謊的;mend(修補) + acious
mendacity,(n)虛偽
mendicant,(adj)行乞的;mend(修補改善) + icant
commensurate,(adj)同樣大小的、相稱的
immense,(adj)巨大的、廣大的;im(不) + mens(測量) + e
immensity,(n)無限、廣大
incommensurate,(adj)不能配合的、不相稱的
measured,(adj)精確的、慎重的
demented,(adj)精神錯亂狀態的、瘋狂的;[類]mad
mercantile,(adj)貿易的、商業的
mercenary,(adj)為金錢的、圖利的、貪財的
asymmetric,(adj)不對稱的、不勻稱的
symmetry,(n)對稱、均衡;sym(共同) + metr(測量) + y
barometer,(n)氣壓計、晴雨表
metrical,(adj)用詩體寫的、格律詩的
odometer,(n)里程表、里程計
perimeter,(n)周長;peri(周圍) + meter(測量)
emigrate,(v)移居國外
migratory,(adj)遷移的、流浪的
militant,(adj)好戰的、富於戰鬥性的
militia,(n)民兵部隊、國民軍
eminence,(n)卓越、顯赫
eminent,(adj)出眾的、卓越的;[類]famous; distinguished
imminent,(adj)即將發生的、逼近的
preeminent,(adj)卓越的、顯著的;[類]outstanding; supreme
prominence,(n)突出物、顯著
prominent,(adj)突出的、顯著的
reminisce,(v)追憶、懷舊
reminiscent,(adj)回憶往事的、懷舊的
miniature,(n)縮樣、縮圖
minion,(n)寵僕、奴才、爪牙
minnow,(n)小魚
diminuendo,(adj)(音樂)漸弱
diminution,(n)減少、縮減
minuet,(n)小步舞(曲)
minuscule,(adj)小寫字的、微小的
minutia,(n)細節、小事
miraculous,(adj)奇蹟的、不可思議的
mirage,(n)幻影、海市蜃樓
mirth,(n)歡笑、歡樂;[類]laughter; humour
amiss,(adj)不對的、有毛病地
committed,(adj)(工作)盡忠的
demise,(n)死亡、財產轉讓
dismiss,(v)讓..離開、把..打發走
emissary,(n)特使、密使
emit,(v)發射、散發
intermission,(n)間歇、暫停;inter(之間) + miss(送) + ion
intermittent,(adj)間歇的、時斷時續的
missive,(n)信件、公函
remiss,(adj)疏忽的、不留心的
remission,(n)寬恕、赦免
remit,(v)寬恕、赦免
remittance,(n)匯款
remittent,(adj)間歇性的、忽好忽壞的
surmise,(v)推測、猜測
unremitting,(adj)不間段的、持續的
mite,(n)微小的東西、一點點
mitigant,(adj)緩和的、減輕的
mitigate,(v)使緩和、減輕
unmitigated,(adj)未緩和的、為減輕的
amnesia,(n)記憶缺失、健忘(症);a(不) + men(記憶) + sia
amnesty,(n)大赦、特赦;a(不) + men(記憶) + sty
mnemonics,(n)記憶法、記憶規則
demobilize,(v)使復原、退伍
immobile,(adj)穩定的、不動的、靜止的
immodest,(adj)不謙虛的、傲慢的
modish,(adj)流行的、時髦的
modulate,(v)調整、控制、緩和
outmoded,(adj)老式的、過時的
emollient,(n)軟化劑、潤膚劑
mollify,(v)緩和、減輕
mollycoddle,(v)過分愛惜、嬌慣
coddle,(v)溺愛、悉心照料
admonish,(v)告誡、警告
premonition,(n)預感、預兆
demonstrative,(adj)證明性的、喜怒形於色的
undemonstrable,(adj)無法證明的、難以證明的
monstrous,(adj)怪異的、駭人聽聞的
